Код;Наименование;Тип;Подтип;Бренд;Марка;Цена;РРЦ;Наличие;Киев;Харьков;Одесса;"Ссылка на фотографию";Описание
Ц-000034101;"Monopod Selfi AUX, green Z07-5S";Монопод;;;;3,95;0.00;active;ЕСТЬ;НЕТ;НЕТ;http://kmt5.com/images/products/c6567c761151357816063f631b328eed_large.jpg;
Ц-000034104;"Monopod Selfie AUX, pink Z07-5S";Монопод;;;;3,95;0.00;active;НЕТ;НЕТ;ЕСТЬ;http://kmt5.com/images/products/78ff028cda4905a85a304ee8c6cc2fb1_large.jpg;
Ц-000034102;"Monopod Selfie AUX, purple Z07-5S";Монопод;;;;3,95;0.00;active;ЕСТЬ;НЕТ;НЕТ;http://kmt5.com/images/products/a67bfbf87e52659324195fec4eb28452_large.jpg;
Ц-000032710;"Кнопка для Selfie универсальная Bluetooth";Монопод;;;;1,99;0.00;active;НЕТ;ЕСТЬ;НЕТ;http://kmt5.com/images/products/c9efaf601798a88dffe14cd7f959b2ad_large.jpg;
Ц-000034111;"Монопод AUX Locust series";Монопод;;;;6,40;0.00;active;ЕСТЬ;ЕСТЬ;ЕСТЬ;http://kmt5.com/images/products/7884a35646f45da1b52fad08b6cdabbb_large.jpg;
Ц-000034107;"Монопод Aux Z07-5E Black For Apple (IOS) and Android";Монопод;;;;5,40;0.00;active;ЕСТЬ;НЕТ;ЕСТЬ;http://kmt5.com/images/products/3586b76c2107ab83c7cfee96c3bb4de2_large.jpg;
Ц-000034108;"Монопод Aux Z07-5E Mixcolor For Apple (IOS) and Android";Монопод;;;;5,40;0.00;active;ЕСТЬ;НЕТ;ЕСТЬ;http://kmt5.com/images/products/eec908c6c5dd03b9a4b33b800b925c4c_large.jpg;
Ц-000034109;"Монопод GoShot Q1 aux Mixcolor";Монопод;;;;5,40;0.00;active;ЕСТЬ;ЕСТЬ;ЕСТЬ;http://kmt5.com/images/products/d750ba28ecdb40648d1facc4a482f926_large.jpg;
Ц-000034106;"Монопод GoShot Q2 с кнопкой Bluetooth black";Монопод;;;;7,50;0.00;active;ЕСТЬ;ЕСТЬ;НЕТ;http://kmt5.com/images/products/c160f9bf203d0e5ab472ba7765a91e5a_large.jpg;
Ц-000034110;"Монопод WS-SQB916 встроенный Bluetooth";Монопод;;;;7,90;0.00;active;ЕСТЬ;ЕСТЬ;НЕТ;http://kmt5.com/images/products/479363090c31de77e330fa5b3151d251_large.jpg;
Ц-000033308;"Монопод для Селфи with zoom selftimer03";Монопод;;;;10,80;0.00;active;ЕСТЬ;НЕТ;НЕТ;http://kmt5.com/images/products/9fd6cade3fe58e8d1df582c4b121caa1_large.jpg;
Ц-000033307;"Монопод для Селфи встроенный Bluetooth,  Z07-5 strong";Монопод;;;;6,80;0.00;active;ЕСТЬ;НЕТ;НЕТ;http://kmt5.com/images/products/7671ec6c15c218db108424373908bb5d_large.jpg;
Ц-000032676;"Монопод для Селфи встроенный Bluetooth, black Z07-5";Монопод;;;;6,80;0.00;active;ЕСТЬ;НЕТ;НЕТ;http://kmt5.com/images/products/49e143fb927ee5c216a2396d11f4dcf6_large.jpg;
Ц-000032675;"Монопод для Селфи с кнопкой Bluetooth, black Z07-1";Монопод;;;;5,40;0.00;active;ЕСТЬ;ЕСТЬ;НЕТ;http://kmt5.com/images/products/0b856154a0f3f168ff91c64dbf3e6d71_large.jpg;
Ц-000032678;"Монопод для Селфи с кнопкой Bluetooth, mixcolor Z07-1";Монопод;;;;5,40;0.00;active;ЕСТЬ;ЕСТЬ;НЕТ;http://kmt5.com/images/products/0353cf5ceccfd3a9b9248115461a90d3_large.jpg;
